,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore
24,Male,Group d,Professional certification,Free,Completed,Married,Sometimes,Yes,2,School_bus,5-10,74,71,80
25,Male,Group a,Master's degree,Free,Start,Married,Regularly,Yes,1,School_bus,5-10,75,76,76
26,Male,Group b,college degree,Standard,Start,Married,Sometimes,Yes,5,School_bus,0-5,66,53,53
27,Female,Group c,Bachelor's degree,Standard,Start,Married,Sometimes,Yes,4,School_bus,0-10,69,70,76
28,Male,Group c,High school,Standard,Start,Married,Sometimes,No,1,Private car,5-10,70,70,65
29,Female,Group d,college degree,Standard,Start,Single,Sometimes,Yes,0,Private car,0-5,66,72,72
30,Female,Group b,college degree,Standard,Start,Single,Sometimes,Yes,5,Own car,5-10,63,65,61
31,Female,Group e,Master's degree,Free,Start,Divorced,Sometimes,Yes,1,School_bus,5-10,56,73,66
32,Male,Group f,college degree,Standard,Start,Married,Sometimes,No,2,Private car,5-10,40,42,38
33,Male,Group e,college degree,Standard,Start,Divorced,Sometimes,Yes,0,School_bus,10-15,97,87,82
34,Male,Group e,Associate's degree,Standard,Completed,Single,Sometimes,No,2,School_bus,5-10,81,81,79
35,Female,Group d,Associate's degree,Standard,Start,Married,Regularly,No,2,Private car,5-10,76,82,85
36,Female,Group d,law degree,Free,Start,Married,Regularly,Yes,1,Private car,5-10,51,64,60
37,Female,Group d,Associate's degree,Free,Completed,Married,Regularly,No,1,School_bus,5-10,77,91,90
38,Male,Group b,Associate's degree,Free,Start,Single,Regularly,Yes,5,School_bus,5-10,58,56,58
39,Male,Group c,Associate's degree,Free,Start,Married,Never,Yes,0,School_bus,5-10,53,60,52
40,Female,Group c,Associate's degree,Standard,Start,Divorced,Regularly,No,1,Own car,5-10,59,74,69
41,Male,Group b,college degree,Free,In progress,Married,Regularly,Yes,3,School_bus,5-10,60,65,67
42,Female,Group e,Associate's degree,Free,Start,Married,Sometimes,Yes,5,School_bus,0-5,48,55,52
43,Male,Group b,Associate's degree,Standard,Start,Single,Sometimes,Yes,3,School_bus,0-5,63,53,55
44,Female,Group c,High school,Standard,Start,Married,Regularly,Yes,2,Private car,5-10,67,72,77
45,Male,Group c,High school,Standard,Completed,Married,Sometimes,Yes,3,Own car,5-10,82,84,82
47,Male,Group f,Associate's degree,Free,Completed,Married,Regularly,No,2,Private car,0-5,76,68,68
48,Male,Group c,college degree,Standard,Start,Divorced,Regularly,Yes,3,School_bus,0-10,56,45,43
49,Male,Group d,High school,Standard,Start,Single,Sometimes,Yes,2,School_bus,5-10,88,78,75
50,Female,Group f,law degree,Free,Completed,Married,Regularly,Yes,2,Private car,0-10,75,86,90
51,Female,Group c,High school,Free,Start,Divorced,Sometimes,Yes,2,Private car,5-10,33,41,43
52,Female,Group e,Associate's degree,Standard,Completed,Married,Sometimes,Yes,3,School_bus,0-10,84,86,87
53,Male,Group d,Associate's degree,Standard,Start,Single,Sometimes,No,2,Private car,5-10,52,55,49
54,Male,Group d,Professional certification,Standard,Completed,Married,Regularly,No,1,Private car,0-10,61,60,60
55,Female,Group c,law degree,Free,Start,Single,Regularly,Yes,3,School_bus,0-10,0,17,10
56,Male,Group a,law degree,Free,Start,Married,Sometimes,Yes,2,School_bus,5-10,39,39,34
57,Male,Group a,Associate's degree,Free,Start,Married,Sometimes,Yes,5,Private car,5-10,62,61,55
58,Female,Group d,law degree,Standard,Start,Married,Sometimes,Yes,0,School_bus,5-10,59,58,59
59,Male,Group b,law degree,Standard,Start,Married,Never,Yes,1,Private car,0-5,63,62,58
60,Male,Group d,law degree,Free,Start,Married,Sometimes,Yes,4,School_bus,5-10,45,37,37
61,Female,Group c,college degree,Standard,Start,Married,Regularly,No,3,School_bus,5-10,61,73,75
62,Male,Group b,Associate's degree,Free,Start,Divorced,Regularly,No,3,School_bus,10-15,62,58,57
63,Female,Group c,Associate's degree,Standard,Start,Single,Sometimes,Yes,3,School_bus,5-10,39,64,57
64,Male,Group d,college degree,Standard,Completed,Divorced,Sometimes,Yes,3,Private car,0-10,64,55,64
65,Female,Group a,Associate's degree,Free,Start,Single,Regularly,Yes,1,Private car,5-10,42,51,49
66,Male,Group c,law degree,Free,Start,Divorced,Never,Yes,3,School_bus,5-10,59,56,54
67,Male,Group c,law degree,Standard,In progress,Married,Sometimes,Yes,2,Private car,0-5,47,48,40
68,Male,Group b,Associate's degree,Free,Start,Divorced,Sometimes,No,2,School_bus,5-10,44,41,38
71,Female,Group d,law degree,Standard,Completed,Divorced,Sometimes,Yes,2,School_bus,0-10,62,75,73
72,Female,Group e,Master's degree,Standard,Start,Divorced,Never,Yes,1,School_bus,5-10,60,68,68
73,Female,Group b,Associate's degree,Standard,Start,Married,Regularly,Yes,0,Private car,0-10,49,50,52
74,Male,Group b,High school,Free,Start,Married,Sometimes,Yes,0,Private car,10-15,49,45,45
75,Male,Group a,college degree,Free,Completed,Married,Sometimes,No,2,School_bus,5-10,50,47,54
76,Male,Group e,Associate's degree,Standard,Start,Married,Regularly,Yes,0,Private car,5-10,74,64,64
77,Male,Group d,High school,Free,Start,Married,Never,Yes,3,Private car,5-10,40,38,33
78,Female,Group c,college degree,Standard,Start,Divorced,Sometimes,Yes,0,Private car,5-10,73,80,82
79,Female,Group c,college degree,Free,Start,Married,Sometimes,Yes,2,School_bus,0-5,73,81,86
80,Female,Group d,Associate's degree,Standard,Start,Single,Sometimes,Yes,0,Private car,5-10,71,71,74
81,Female,Group a,college degree,Standard,Start,Divorced,Regularly,Yes,3,School_bus,0-5,57,69,67
82,Female,Group d,law degree,Standard,Start,Single,Sometimes,Yes,2,Private car,0-10,75,87,83
83,Male,Group c,High school,Free,Start,Divorced,Regularly,No,4,Own car,5-10,27,34,36
84,Male,Group c,High school,Standard,Start,Divorced,Sometimes,No,1,Own car,0-5,68,77,69
85,Male,Group c,Associate's degree,Free,Completed,Married,Regularly,No,3,Private car,0-10,45,46,52
86,Female,Group b,college degree,Standard,Start,Married,Regularly,Yes,4,Private car,5-10,81,87,94
87,Male,Group b,law degree,Standard,Completed,Married,Regularly,Yes,5,School_bus,5-10,63,65,61
88,Female,Group f,college degree,Standard,Completed,Married,Never,Yes,0,School_bus,0-5,59,69,66
89,Female,Group d,college degree,Free,Start,Single,Regularly,Yes,2,Own car,0-10,61,69,64
90,Female,Group d,Bachelor's degree,Standard,Start,Married,Regularly,Yes,3,School_bus,0-5,64,66,62
91,Male,Group b,college degree,Standard,Start,Married,Sometimes,No,7,School_bus,5-10,79,67,67
92,Male,Group d,Bachelor's degree,Standard,Completed,Single,Sometimes,No,1,Private car,5-10,68,74,74
93,Female,Group d,Associate's degree,Standard,Start,Married,Regularly,Yes,3,School_bus,5-10,87,92,91
94,Male,Group b,High school,Standard,Completed,Married,Regularly,No,3,School_bus,5-10,61,44,48
95,Male,Group f,college degree,Standard,Completed,Married,Regularly,Yes,1,School_bus,0-10,100,88,94
96,Female,Group c,college degree,Standard,Start,Married,Sometimes,Yes,0,School_bus,5-10,58,67,72
97,Female,Group d,Master's degree,Standard,Start,Married,Sometimes,No,3,Private car,5-10,87,100,100
98,Male,Group e,Professional certification,Standard,Completed,Single,Sometimes,Yes,0,School_bus,5-10,66,63,64
99,Female,Group b,Associate's degree,Free,Start,Married,Sometimes,Yes,2,School_bus,5-10,52,76,70
100,Female,Group b,law degree,Standard,Start,Single,Regularly,No,3,School_bus,5-10,72,64,73
101,Female,Group d,Associate's degree,Free,Completed,Single,Sometimes,Yes,4,School_bus,0-10,79,90,99
102,Male,Group c,High school,Standard,Start,Single,Regularly,No,6,Own car,5-10,63,55,50
103,Male,Group a,Associate's degree,Standard,Start,Married,Sometimes,Yes,0,School_bus,5-10,54,53,47
104,Female,Group d,college degree,Standard,Start,Married,Never,Yes,1,School_bus,0-5,47,56,51
105,Female,Group e,Bachelor's degree,Standard,Completed,Married,Regularly,Yes,3,School_bus,0-5,98,99,100
106,Male,Group c,High school,Standard,Start,Married,Sometimes,Yes,4,Private car,5-10,84,77,74
107,Female,Group b,Bachelor's degree,Free,Start,Single,Never,No,1,School_bus,5-10,72,83,79
108,Female,Group d,Bachelor's degree,Standard,Start,Married,Never,No,2,Private car,5-10,75,80,77
109,Female,Group d,law degree,Standard,Start,Single,Regularly,Yes,0,Private car,0-10,54,64,63
110,Female,Group c,college degree,Standard,Start,Divorced,Sometimes,No,3,School_bus,5-10,55,69,65
111,Female,Group c,Bachelor's degree,Standard,Completed,Married,Never,Yes,1,School_bus,5-10,76,90,86
112,Male,Group b,Associate's degree,Standard,Completed,Married,Sometimes,Yes,3,School_bus,0-5,88,87,90
113,Female,Group c,college degree,Standard,Completed,Single,Regularly,Yes,1,Own car,5-10,90,94,95
114,Male,Group d,High school,Free,Start,Married,Sometimes,No,3,Private car,10-15,63,57,56
115,Male,Group e,college degree,Standard,Start,Single,Regularly,No,3,School_bus,0-5,82,79,73
116,Female,Group b,High school,Standard,Start,Single,Never,Yes,2,School_bus,0-10,86,94,85
118,Male,Group d,college degree,Standard,In progress,Married,Regularly,No,3,School_bus,0-5,64,76,74
119,Male,Group d,Master's degree,Standard,Start,Single,Never,Yes,2,Private car,0-5,77,81,72
121,Male,Group d,Master's degree,Standard,Start,Single,Sometimes,No,1,School_bus,0-5,87,84,82
122,Male,Group c,law degree,Free,Completed,Single,Regularly,Yes,1,Private car,0-5,52,36,40
123,Male,Group f,college degree,Free,Completed,Married,Regularly,Yes,2,School_bus,5-10,89,75,71
124,Female,Group f,college degree,Standard,Completed,Married,Never,No,6,Own car,0-5,70,78,80
125,Male,Group d,Bachelor's degree,Free,Completed,Married,Sometimes,Yes,1,Private car,0-10,76,80,76
126,Male,Group c,Bachelor's degree,Standard,Start,Married,Sometimes,Yes,1,Own car,0-5,56,54,47
127,Male,Group b,law degree,Standard,Completed,Divorced,Sometimes,Yes,1,Private car,5-10,51,54,41
128,Male,Group e,High school,Standard,Start,Divorced,Sometimes,Yes,0,School_bus,0-5,67,54,54
129,Female,Group c,Associate's degree,Standard,In progress,Married,Sometimes,Yes,1,Private car,5-10,59,66,67
130,Male,Group d,college degree,Standard,Completed,Married,Sometimes,Yes,0,Private car,0-10,73,61,70
131,Female,Group d,law degree,Standard,Start,Married,Sometimes,No,1,School_bus,5-10,76,72,71
132,Female,Group c,college degree,Free,Start,Married,Regularly,No,2,Private car,5-10,60,62,65
133,Female,Group e,college degree,Free,Completed,Single,Regularly,Yes,1,Private car,0-5,41,54,54
134,Male,Group a,High school,Standard,Start,Single,Sometimes,No,1,School_bus,5-10,57,43,47
135,Male,Group d,college degree,Standard,Start,Divorced,Sometimes,Yes,3,Private car,0-10,90,74,79
136,Female,Group c,college degree,Free,Start,Single,Regularly,Yes,1,School_bus,0-5,21,38,33
137,Female,Group d,Bachelor's degree,Standard,Completed,Married,Sometimes,Yes,1,Private car,0-5,65,73,79
138,Male,Group e,Associate's degree,Free,Completed,Married,Regularly,No,3,Private car,5-10,100,100,95
139,Male,Group a,law degree,Standard,Completed,Married,Sometimes,No,2,Private car,5-10,62,67,69
140,Female,Group b,Associate's degree,Standard,Completed,Single,Sometimes,Yes,2,School_bus,0-5,57,68,64
141,Male,Group d,Bachelor's degree,Standard,Start,Married,Sometimes,No,1,Own car,5-10,54,49,47
142,Male,Group d,law degree,Standard,Start,Single,Never,No,2,Own car,0-5,58,65,58
143,Female,Group c,college degree,Standard,Completed,Married,Regularly,Yes,3,School_bus,0-5,69,88,88
144,Female,Group e,High school,Free,Completed,Married,Regularly,Yes,1,School_bus,5-10,67,75,79
146,Female,Group b,Associate's degree,Standard,In progress,Divorced,Regularly,Yes,2,Private car,5-10,62,87,89
147,Male,Group d,Associate's degree,Free,Start,Married,Regularly,No,3,School_bus,0-10,70,63,66
148,Male,Group b,Associate's degree,Free,Completed,Single,Sometimes,Yes,2,Private car,5-10,82,78,74
149,Female,Group e,college degree,Free,Completed,Married,Sometimes,Yes,3,School_bus,5-10,75,88,85
150,Male,Group b,Master's degree,Free,Start,Single,Never,No,2,School_bus,5-10,48,53,52
151,Male,Group c,High school,Standard,Start,Divorced,Sometimes,Yes,1,School_bus,5-10,52,53,49
152,Female,Group e,Master's degree,Standard,Start,Married,Never,Yes,3,Private car,0-5,76,89,86
153,Female,Group c,Bachelor's degree,Standard,Completed,Married,Sometimes,Yes,0,School_bus,5-10,96,100,100
154,Male,Group c,High school,Free,Completed,Single,Sometimes,Yes,5,Private car,5-10,53,51,51
155,Female,Group b,Master's degree,Free,Completed,Married,Regularly,No,1,Private car,0-10,62,79,83
156,Female,Group b,High school,Standard,Completed,Married,Regularly,Yes,2,Private car,5-10,70,84,79
157,Male,Group a,High school,Standard,Completed,Divorced,Regularly,Yes,5,School_bus,0-10,76,75,77
158,Male,Group e,law degree,Standard,Start,Married,Sometimes,No,3,School_bus,0-5,91,86,76
159,Female,Group d,college degree,Standard,Start,Single,Never,Yes,3,School_bus,5-10,76,84,78
160,Female,Group c,Associate's degree,Standard,Start,Married,Sometimes,Yes,2,School_bus,5-10,63,67,70
161,Female,Group c,Bachelor's degree,Free,Completed,Married,Sometimes,No,1,School_bus,0-5,41,50,52
162,Female,Group c,Master's degree,Standard,Completed,Divorced,Sometimes,Yes,1,School_bus,5-10,81,92,89
163,Female,Group b,High school,Free,Completed,Married,Sometimes,No,2,School_bus,0-5,44,53,56
164,Female,Group c,Associate's degree,Standard,Completed,Married,Regularly,Yes,2,School_bus,0-5,70,76,77
165,Female,Group b,Master's degree,Free,Completed,Divorced,Regularly,Yes,2,School_bus,5-10,54,72,65
166,Female,Group d,law degree,Standard,Completed,Divorced,Regularly,Yes,0,School_bus,5-10,99,100,100
167,Male,Group c,Master's degree,Free,Completed,Single,Sometimes,Yes,2,Private car,0-5,60,68,75
168,Female,Group c,college degree,Free,Start,Single,Sometimes,Yes,1,Private car,5-10,46,64,66
169,Female,Group e,High school,Standard,Start,Married,Sometimes,Yes,3,Private car,10-15,50,50,47
170,Female,Group d,Associate's degree,Standard,Start,Single,Sometimes,No,2,Private car,0-5,63,67,68
171,Male,Group c,Associate's degree,Free,Completed,Married,Never,Yes,5,Private car,0-5,61,65,62
172,Male,Group e,High school,Standard,Start,Married,Never,Yes,1,School_bus,0-5,75,73,62
173,Male,Group d,law degree,Standard,Completed,Married,Sometimes,No,4,Private car,5-10,62,66,68
174,Male,Group b,law degree,Free,Start,Married,Regularly,No,3,School_bus,0-5,47,51,45
175,Female,Group c,Bachelor's degree,Standard,Start,Single,Sometimes,Yes,1,School_bus,0-5,74,86,85
176,Female,Group e,Associate's degree,Standard,Start,Married,Sometimes,Yes,2,School_bus,5-10,66,65,69
177,Male,Group d,college degree,Standard,Completed,Married,Sometimes,No,2,School_bus,0-5,73,81,77
178,Female,Group b,law degree,Standard,Start,Single,Sometimes,No,3,Private car,10-15,62,64,66
179,Male,Group d,college degree,Standard,Completed,Married,Regularly,Yes,4,Own car,10-15,79,62,63
181,Male,Group d,Associate's degree,Standard,Start,Married,Regularly,No,4,School_bus,0-5,60,54,52
182,Male,Group c,Professional certification,Free,Completed,Married,Never,Yes,1,School_bus,5-10,57,67,63
184,Female,Group b,college degree,Free,Start,Widowed,Regularly,Yes,3,Own car,0-10,47,54,57
185,Female,Group b,Bachelor's degree,Free,In progress,Married,Regularly,Yes,3,Private car,5-10,80,80,77
186,Female,Group c,Associate's degree,Standard,Completed,Single,Regularly,No,1,Private car,0-5,66,83,86
187,Female,Group d,college degree,Free,Start,Divorced,Sometimes,Yes,3,School_bus,0-5,63,79,75
188,Male,Group c,Associate's degree,Standard,Start,Married,Sometimes,Yes,2,School_bus,5-10,69,77,69
190,Male,Group c,college degree,Standard,Start,Single,Regularly,Yes,1,Own car,0-5,58,40,42
192,Male,Group e,Bachelor's degree,Standard,Start,Married,Regularly,Yes,4,School_bus,5-10,84,62,63
193,Male,Group e,High school,Standard,Completed,Married,Regularly,No,2,School_bus,5-10,83,81,77
194,Female,Group b,college degree,Free,Start,Married,Regularly,Yes,1,Private car,0-5,73,80,76
195,Female,Group b,college degree,Free,In progress,Single,Sometimes,No,2,Own car,10-15,58,61,66
196,Male,Group d,law degree,Free,Completed,Widowed,Sometimes,Yes,3,School_bus,0-5,77,77,77
197,Male,Group c,college degree,Free,In progress,Married,Sometimes,Yes,3,School_bus,5-10,35,28,27
198,Female,Group c,High school,Free,Start,Divorced,Sometimes,Yes,2,School_bus,5-10,42,62,60
199,Male,Group c,Associate's degree,Free,Completed,Single,Regularly,No,1,School_bus,5-10,61,51,57
200,Male,Group e,High school,Standard,In progress,Married,Sometimes,Yes,1,Private car,5-10,87,91,81
202,Female,Group e,Associate's degree,Free,Completed,Married,Sometimes,Yes,3,School_bus,0-5,80,84,86
203,Female,Group c,High school,Free,In progress,Married,Regularly,No,3,Own car,0-5,33,41,39
204,Male,Group b,High school,Free,Start,Married,Sometimes,No,2,School_bus,0-5,64,75,68
205,Male,Group b,law degree,Standard,Completed,Single,Never,No,1,Own car,5-10,59,55,54
206,Female,Group d,High school,Standard,Completed,Widowed,Regularly,Yes,4,School_bus,5-10,57,69,75
207,Male,Group b,Associate's degree,Standard,Start,Married,Sometimes,Yes,0,School_bus,0-10,89,86,74
208,Female,Group c,law degree,Free,In progress,Divorced,Sometimes,No,3,Own car,5-10,55,65,62
209,Male,Group d,law degree,Standard,Start,Married,Regularly,No,3,School_bus,5-10,88,81,76
210,Female,Group b,Associate's degree,Standard,Completed,Divorced,Regularly,Yes,3,School_bus,0-10,55,67,76
211,Female,Group e,Master's degree,Free,Start,Married,Sometimes,No,2,Private car,0-5,43,55,52
212,Female,Group c,college degree,Standard,Start,Married,Sometimes,Yes,5,School_bus,5-10,72,72,71
213,Male,Group d,High school,Standard,Start,Single,Regularly,Yes,0,School_bus,5-10,58,50,55
214,Male,Group a,Professional certification,Free,Start,Divorced,Sometimes,No,4,School_bus,5-10,68,72,64
215,Female,Group c,college degree,Standard,Completed,Married,Regularly,Yes,3,School_bus,0-10,93,97,98
216,Male,Group d,college degree,Standard,Start,Married,Regularly,Yes,0,Own car,5-10,78,64,67
217,Male,Group c,Associate's degree,Standard,Start,Married,Regularly,Yes,1,Private car,5-10,47,43,43
218,Female,Group b,Bachelor's degree,Standard,Start,Married,Sometimes,Yes,2,School_bus,5-10,67,86,83
219,Male,Group e,law degree,Standard,Start,Divorced,Sometimes,Yes,3,School_bus,0-10,94,88,79
220,Male,Group c,Bachelor's degree,Standard,Completed,Married,Sometimes,No,3,School_bus,0-10,85,83,85
221,Male,Group d,Associate's degree,Standard,Start,Married,Regularly,No,1,School_bus,0-10,84,77,80
222,Male,Group d,Bachelor's degree,Free,Start,Divorced,Regularly,No,2,School_bus,0-5,62,65,67
223,Female,Group d,law degree,Standard,In progress,Married,Sometimes,Yes,4,School_bus,0-5,62,59,72
224,Male,Group b,college degree,Standard,Start,Married,Regularly,Yes,2,Private car,0-10,57,53,53
227,Female,Group e,Bachelor's degree,Standard,Start,Single,Regularly,No,4,Private car,5-10,82,84,85
228,Male,Group e,college degree,Standard,In progress,Single,Regularly,No,2,School_bus,0-5,58,50,43
229,Male,Group d,law degree,Standard,Start,Divorced,Regularly,Yes,1,School_bus,0-5,74,73,69
230,Male,Group c,Associate's degree,Standard,Start,Married,Sometimes,No,3,Private car,0-5,82,74,69
231,Male,Group e,Associate's degree,Standard,In progress,Married,Regularly,No,2,School_bus,5-10,91,77,75
232,Female,Group b,High school,Standard,Completed,Single,Sometimes,Yes,1,Private car,5-10,58,70,68
233,Female,Group b,High school,Standard,Start,Married,Sometimes,Yes,2,Private car,0-5,63,63,60
234,Male,Group f,High school,Standard,Start,Married,Sometimes,No,2,School_bus,0-10,70,60,54
235,Male,Group a,law degree,Standard,Completed,Single,Sometimes,Yes,2,School_bus,5-10,47,49,49
236,Female,Group d,college degree,Free,Start,Married,Regularly,Yes,4,School_bus,0-5,70,82,83
237,Female,Group b,law degree,Standard,Completed,Single,Sometimes,Yes,3,Private car,5-10,60,70,70
238,Male,Group d,Master's degree,Standard,Start,Married,Sometimes,No,3,School_bus,10-15,80,80,72
239,Male,Group d,High school,Standard,Start,Married,Sometimes,Yes,0,Private car,5-10,54,52,52
240,Female,Group e,college degree,Standard,Start,Single,Sometimes,No,1,School_bus,5-10,62,73,70
241,Female,Group c,Associate's degree,Free,Start,Single,Sometimes,No,5,Private car,0-5,62,71,66
242,Male,Group f,Associate's degree,Standard,Completed,Married,Regularly,Yes,1,School_bus,5-10,80,78,78
243,Female,Group c,law degree,Free,Completed,Married,Sometimes,Yes,1,Private car,0-10,65,80,78
244,Male,Group c,college degree,Standard,Completed,Married,Sometimes,No,2,School_bus,5-10,79,79,78
245,Female,Group c,law degree,Free,Start,Married,Regularly,No,2,Private car,5-10,45,50,52
246,Female,Group e,High school,Standard,Start,Single,Sometimes,Yes,1,Private car,5-10,99,93,90
247,Male,Group d,High school,Standard,Start,Married,Sometimes,No,2,Private car,5-10,76,73,68
248,Male,Group d,law degree,Free,Start,Divorced,Sometimes,No,1,School_bus,0-5,57,41,40
249,Female,Group f,Bachelor's degree,Standard,Start,Married,Sometimes,No,2,School_bus,0-5,61,73,79
250,Female,Group d,High school,Standard,Start,Married,Regularly,No,3,School_bus,5-10,71,73,78
251,Female,Group d,Associate's degree,Standard,Completed,Married,Regularly,Yes,5,School_bus,0-10,93,94,99
252,Female,Group e,college degree,Free,Start,Married,Sometimes,No,2,School_bus,10-15,71,76,70
253,Male,Group c,Bachelor's degree,Standard,Start,Married,Sometimes,Yes,2,School_bus,5-10,69,63,61
254,Male,Group c,college degree,Standard,In progress,Single,Regularly,Yes,1,Own car,0-5,57,48,42
255,Female,Group d,Associate's degree,Free,Start,Single,Regularly,Yes,2,Private car,5-10,48,53,59
256,Female,Group d,college degree,Standard,Start,Married,Sometimes,No,2,Private car,5-10,65,70,71
258,Male,Group c,Bachelor's degree,Standard,Start,Married,Sometimes,No,3,School_bus,5-10,83,78,73
259,Female,Group c,law degree,Standard,Completed,Married,Sometimes,Yes,3,Private car,0-5,82,90,91
260,Female,Group e,Professional certification,Standard,Completed,Single,Sometimes,No,4,School_bus,0-5,57,62,73
261,Female,Group c,law degree,Free,Start,Married,Sometimes,Yes,1,School_bus,5-10,65,86,80
262,Male,Group b,Bachelor's degree,Free,Start,Widowed,Sometimes,No,2,School_bus,5-10,73,56,57
263,Male,Group d,High school,Standard,Start,Divorced,Sometimes,No,2,Private car,5-10,45,48,46
264,Female,Group d,Bachelor's degree,Free,Start,Divorced,Regularly,No,3,School_bus,5-10,75,80,86
266,Female,Group f,law degree,Standard,Start,Married,Regularly,Yes,0,Private car,0-5,36,45,46
267,Male,Group b,Associate's degree,Standard,Completed,Married,Never,Yes,3,School_bus,5-10,78,80,79
268,Male,Group e,Associate's degree,Standard,Completed,Married,Regularly,Yes,0,Private car,5-10,99,83,90
269,Female,Group b,law degree,Standard,Start,Married,Sometimes,No,1,School_bus,0-5,64,87,80
270,Male,Group b,Bachelor's degree,Free,Start,Single,Sometimes,Yes,0,Own car,0-5,85,73,74
271,Male,Group f,law degree,Standard,Completed,Married,Sometimes,Yes,1,School_bus,0-10,79,77,78
272,Male,Group c,Associate's degree,Standard,Start,Married,Sometimes,No,2,School_bus,5-10,76,70,68
273,Male,Group d,law degree,Standard,Start,Married,Sometimes,Yes,2,Private car,0-5,83,71,68
274,Male,Group c,law degree,Standard,Completed,Married,Never,Yes,1,Private car,5-10,61,59,55
275,Female,Group e,Bachelor's degree,Standard,Start,Married,Sometimes,Yes,2,School_bus,0-10,66,74,76
276,Male,Group d,High school,Free,Completed,Single,Regularly,Yes,3,School_bus,5-10,80,78,82
277,Male,Group b,Associate's degree,Free,Start,Married,Never,Yes,1,School_bus,0-10,66,61,59
278,Male,Group f,law degree,Standard,Completed,Widowed,Regularly,No,2,School_bus,5-10,47,41,44
279,Male,Group f,Associate's degree,Standard,Completed,Single,Regularly,No,1,School_bus,5-10,73,75,69
280,Male,Group c,Professional certification,Free,Completed,Single,Regularly,No,2,Private car,0-5,39,45,50
281,Male,Group d,Associate's degree,Free,Start,Married,Regularly,No,2,Own car,0-5,89,86,75
282,Male,Group a,college degree,Free,Completed,Married,Never,Yes,2,Private car,0-5,76,75,77
283,Male,Group d,law degree,Free,In progress,Divorced,Regularly,No,4,School_bus,0-5,55,53,52
284,Female,Group c,Associate's degree,Standard,Completed,Single,Never,Yes,5,School_bus,0-10,66,83,80
285,Male,Group b,Associate's degree,Standard,Start,Married,Regularly,Yes,1,School_bus,5-10,82,77,65
286,Female,Group c,Associate's degree,Standard,Completed,Married,Regularly,Yes,2,School_bus,5-10,76,76,85
288,Male,Group e,college degree,Standard,Completed,Divorced,Regularly,Yes,5,Private car,5-10,100,88,83
289,Male,Group c,law degree,Standard,Start,Single,Regularly,No,2,Own car,5-10,52,52,45
290,Female,Group b,Associate's degree,Free,Start,Married,Regularly,No,3,Private car,0-10,56,73,70
291,Female,Group d,High school,Free,In progress,Single,Regularly,Yes,5,Own car,0-5,48,56,52
292,Female,Group b,Associate's degree,Standard,Start,Married,Sometimes,No,2,School_bus,5-10,73,76,80
293,Male,Group b,Bachelor's degree,Standard,Start,Married,Never,Yes,3,School_bus,0-5,62,58,54
